received_at,sequence,millis,gain,integration_time,pwm_percent,pwm_raw,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-21T19:57:38.223502+00:00,220,150592,64x,300ms,24,61,0,0,0,0,4,3,0,0,0,0,7
2026-09-21T19:57:38.975887+00:00,221,151337,64x,300ms,23,59,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:39.727267+00:00,222,152083,64x,300ms,23,59,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:41.151714+00:00,223,152827,64x,300ms,22,56,1,0,0,0,4,3,0,0,0,0,7
2026-09-21T19:57:41.871838+00:00,224,153538,64x,300ms,22,56,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:42.583848+00:00,225,154248,64x,300ms,22,56,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:43.295261+00:00,226,154958,64x,300ms,22,56,0,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:44.007838+00:00,227,155668,64x,300ms,22,56,0,0,0,0,4,3,0,0,0,0,7
2026-09-21T19:57:44.727387+00:00,228,156378,64x,300ms,22,56,0,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:45.440351+00:00,229,157087,64x,300ms,22,56,0,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:46.151370+00:00,230,157797,64x,300ms,22,56,0,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:46.191766+00:00,231,158507,64x,300ms,22,56,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:46.904481+00:00,232,159216,64x,300ms,22,56,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:47.655110+00:00,233,159962,64x,300ms,21,54,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:48.367171+00:00,234,160671,64x,300ms,21,54,1,0,0,0,4,3,0,0,0,0,7
2026-09-21T19:57:49.791531+00:00,235,161417,64x,300ms,21,54,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:50.511193+00:00,236,162126,64x,300ms,21,54,0,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:51.223767+00:00,237,162836,64x,300ms,21,54,0,0,0,0,4,3,0,0,0,0,7
