received_at,sequence,millis,gain,integration_time,pwm_percent,pwm_raw,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-15T20:38:27.437698+00:00,176,127013,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1591
2026-09-15T20:38:28.157186+00:00,177,127735,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1592
2026-09-15T20:38:28.877500+00:00,178,128458,128x,300ms,25,64,1,66,547,484,1528,546,176,92,66,42,1591
2026-09-15T20:38:29.597346+00:00,179,129180,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1591
2026-09-15T20:38:30.317571+00:00,180,129902,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1591
2026-09-15T20:38:31.045320+00:00,181,130624,128x,300ms,25,64,0,66,547,484,1528,546,177,92,66,42,1591
2026-09-15T20:38:31.765748+00:00,182,131347,128x,300ms,25,64,0,66,547,483,1527,545,176,92,66,41,1591
2026-09-15T20:38:32.486350+00:00,183,132069,128x,300ms,25,64,0,67,547,484,1528,546,176,92,66,41,1590
2026-09-15T20:38:33.213092+00:00,184,132792,128x,300ms,25,64,0,67,547,484,1527,546,176,92,66,42,1590
2026-09-15T20:38:33.933402+00:00,185,133515,128x,300ms,25,64,0,67,547,484,1528,547,176,92,66,42,1591
2026-09-15T20:38:34.653150+00:00,186,134237,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1591
2026-09-15T20:38:35.373504+00:00,187,134959,128x,300ms,25,64,1,67,547,484,1528,546,176,91,66,42,1591
2026-09-15T20:38:36.093893+00:00,188,135681,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1591
2026-09-15T20:38:36.821358+00:00,189,136402,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1591
2026-09-15T20:38:37.541961+00:00,190,137124,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1590
2026-09-15T20:38:38.261761+00:00,191,137847,128x,300ms,25,64,0,67,547,484,1529,546,177,92,66,42,1591
2026-09-15T20:38:38.989921+00:00,192,138569,128x,300ms,25,64,0,67,547,484,1528,546,176,92,66,42,1591
2026-09-15T20:38:39.709086+00:00,193,139292,128x,300ms,25,64,0,67,547,484,1528,546,177,92,66,41,1592
2026-09-15T20:38:40.429418+00:00,194,140015,128x,300ms,25,64,0,67,547,483,1528,546,177,92,66,42,1591
2026-09-15T20:38:41.150399+00:00,195,140737,128x,300ms,25,64,0,67,547,484,1528,546,176,92,66,42,1591
2026-09-15T20:38:41.877083+00:00,196,141460,128x,300ms,25,64,1,67,547,484,1528,546,176,92,67,41,1591
2026-09-15T20:38:42.597192+00:00,197,142182,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1591
2026-09-15T20:38:43.318319+00:00,198,142904,128x,300ms,25,64,1,67,547,484,1529,546,176,92,66,42,1592
2026-09-15T20:38:44.037874+00:00,199,143626,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1592
2026-09-15T20:38:44.765309+00:00,200,144349,128x,300ms,25,64,1,67,547,483,1529,546,177,92,66,42,1591
2026-09-15T20:38:45.485290+00:00,201,145070,128x,300ms,25,64,0,67,547,484,1528,546,176,92,66,41,1592
2026-09-15T20:38:46.205302+00:00,202,145793,128x,300ms,25,64,0,67,547,484,1528,546,176,92,66,42,1591
2026-09-15T20:38:46.933852+00:00,203,146515,128x,300ms,25,64,0,67,547,484,1528,546,176,92,66,42,1592
2026-09-15T20:38:47.653879+00:00,204,147237,128x,300ms,25,64,0,66,547,483,1527,546,176,92,67,42,1591
2026-09-15T20:38:48.373069+00:00,205,147960,128x,300ms,25,64,0,66,547,484,1528,546,176,92,66,42,1592
2026-09-15T20:38:49.094538+00:00,206,148683,128x,300ms,25,64,1,66,547,484,1529,546,176,92,66,42,1591
2026-09-15T20:38:49.813075+00:00,207,149405,128x,300ms,25,64,1,67,547,483,1528,546,176,92,66,42,1591
2026-09-15T20:38:50.541454+00:00,208,150127,128x,300ms,25,64,1,67,547,484,1529,546,176,92,66,42,1592
2026-09-15T20:38:51.261063+00:00,209,150849,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1592
2026-09-15T20:38:51.980928+00:00,210,151571,128x,300ms,25,64,1,66,547,484,1529,546,177,92,66,41,1592
2026-09-15T20:38:52.710329+00:00,211,152293,128x,300ms,25,64,0,67,548,484,1528,546,176,92,67,42,1592
2026-09-15T20:38:53.429055+00:00,212,153016,128x,300ms,25,64,0,66,547,484,1528,546,176,92,66,41,1591
2026-09-15T20:38:54.149752+00:00,213,153739,128x,300ms,25,64,0,67,547,484,1529,546,176,92,66,42,1592
2026-09-15T20:38:54.877140+00:00,214,154462,128x,300ms,25,64,0,67,547,483,1528,546,176,92,66,41,1592
2026-09-15T20:38:55.597969+00:00,215,155185,128x,300ms,25,64,0,67,547,484,1528,546,176,92,67,42,1591
2026-09-15T20:38:56.317008+00:00,216,155907,128x,300ms,25,64,1,67,547,483,1528,546,176,92,66,42,1591
2026-09-15T20:38:57.037264+00:00,217,156628,128x,300ms,25,64,1,67,547,483,1528,546,176,92,66,42,1592
2026-09-15T20:38:57.757052+00:00,218,157351,128x,300ms,25,64,1,67,547,484,1528,546,176,92,67,41,1592
2026-09-15T20:38:58.485653+00:00,219,158072,128x,300ms,25,64,1,67,547,483,1528,546,176,92,66,42,1590
2026-09-15T20:38:59.205232+00:00,220,158795,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,41,1591
2026-09-15T20:38:59.925373+00:00,221,159517,128x,300ms,25,64,0,67,547,483,1528,546,177,92,66,42,1591
2026-09-15T20:39:00.654396+00:00,222,160239,128x,300ms,25,64,0,67,547,484,1528,546,176,92,66,42,1592
2026-09-15T20:39:01.373809+00:00,223,160962,128x,300ms,25,64,0,67,547,484,1528,546,176,92,66,42,1590
2026-09-15T20:39:02.093003+00:00,224,161685,128x,300ms,25,64,0,66,547,483,1528,546,176,92,66,42,1592
2026-09-15T20:39:02.822068+00:00,225,162407,128x,300ms,25,64,0,67,547,484,1528,546,176,92,66,42,1591
2026-09-15T20:39:03.541039+00:00,226,163130,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1591
2026-09-15T20:39:04.261526+00:00,227,163852,128x,300ms,25,64,1,67,547,483,1528,546,176,92,66,42,1591
2026-09-15T20:39:04.981286+00:00,228,164574,128x,300ms,25,64,1,67,547,483,1528,546,176,92,66,42,1591
2026-09-15T20:39:05.701489+00:00,229,165296,128x,300ms,25,64,1,67,547,483,1528,546,176,92,66,42,1592
